societe,page,table_num,RUBRIQUE,Note,Exercice 2025,col,col_2,col_3,col_4,col_5,Exercice 2024,col_6,col_7,col_8,col_9,col_10,Notes,"Opérations brutes
TAKAFULIA,41,1,,,,"Primes
Charges de prestations
Prestations et frais payés
Charges des provisions d’assurance takaful familial et des autres provisions techniques
Ajustement ACAV (Assurance à Capital Variable)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRF11 (1ère colonne)
CHF11(1ère colonne)
CHF2 + CHF6 (1ère
colonne)
CHF7 –PRF3 (1ère
colonne)","29 315 258
‐ 29 429 359
‐ 3 563 956
‐ 25 865 403
‐",,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,Solde de souscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‐ 114 102,,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,"Frais d’acquisition
Autres charges de gestion nettes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHF31 + CHF32
CHF33 + CHF5 – PRF4","‐ 1 104 139
‐ 163 837",,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,Charges d’acquisition et de gestion nettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"‐ 1 267
976",,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,Produits nets de placements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRF2 – CHF4,5 074 259,,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,Solde financier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 074 259,,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,"Primes cédées et / ou rétrocédées
Part des réassureurs rétakaful et / ou des rétrocessionnaires dans les charges de
prestations
Part des réassureurs rétakaful et / ou des rétrocessionnaires dans les charges de
provisions
Commissions reçues des réassureurs rétakaful et / ou des rétrocessionnaires",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRF1 (2ème colonne)
CHF1 (2ème colonne)
CHF2 (2ème colonne)
CHF 34 (2ème colonne)","‐ 221 791
136 530
‐ 66 412
16 657",,,,,,,,,,,,,,,
TAKAFULIA,41,1,,,,Solde de réassurance et / ou de rétrocession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‐ 135 016,,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,"Primes acquises
Primes émises
Variation des primes non acquises
Charges de prestations
Prestations et frais payés
Charges des provisions pour prestations diverses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRG11 (1ère colonne)
PRG12 (1ère colonne)
CHG11 (1ère colonne)
CHG12 +CHG2+CHG6 (1° colonne)","43 390 237
45 690 673
‐ 2 300 435
‐ 23 057 597
‐ 19 700 471
‐ 3 357 126",,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,Solde de souscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 332 641,,,,,,,,,,,,,,,
