societe,page,table_num,col,col_2,2025س ربمسيد 31 ىلا يفناج 01 نم,col_3,col_4,للاغتسلال ينابم,ةنس 50 ,تاريغت,2024 يفاصلا,col_5,2025 يفاصلا,col_6,col_7,ر صانعلا,col_8,2025 تاكلاهتس ا,col_9,2025 ماخلا,col_10,col_11,رصانعلا,col_12,2024يفاصلا,2025يفاصلا,2024 يّ تاّذلا لاوملأا,2025ةّيتاّذلا لاوملأا,2024 ةّيتاّذلا لاوملأا,2025 ةّيتاّذلا لاوملأا,عومجملا,ةيتاذ لاومأ,ةنسلا جئاتن,ةلجؤم جئاتن,تاطايتحا,لاملا سأر,col_13,col_14,سأر,ةـّينف تارخدّ م,"عومجملا
)3(+)2(-)1(",ثداوحلا ىلع تارخدملا,ىواعدلا تاعقوت,تاضيوعتلا تارخدم,تانايبلا,2024 ةيفاص طاسقأ,2025 ةيفاص طاسقأ,ةدنسم طاسقأ,ةرداص طاسقأ,نيمأّتلا طاسقأ,ةيفاص طاسقأ,"ةيفاص طاسقأ
2025",ناوعلأا ءابعا,2024,2025,غ لبملا,ة يفارغجلا ةقطنملا,"صقان وأ ضئاف
ةنماكلا ةميقلا",ةحيحص ةميق,يفاص غلبم,ماخ غلبم,تافيظوتلا ءابعأو تاداريإ عيزوت لودج :13 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج :16 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج : 17 ددع قحلملا,"2025-12-31 ف دئاوف
ي",غ لبملا فصر خــــيرات,ي مهاسملا,ة رادلاا سلجم ءاضعأ,دعاسملا ماعلا ريدملا,ماعلا ريدملا
AMANA,7,1,"يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,"وأ/و يلفاكتلا نيمأتلا ةسسؤم
ةدحوم يلفاكتلا نيمأتلا ةداعإ","يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,3,,,,,,,,176 996,605 889,,782 884,,,,,,,,,,ا قفو ىرخأ ت افيظوت ةيعرشلا ريياعملل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,3,,,,,,,,-2 300 000,13 800 000,,11 500 000,,,,,,,,,,ليخادم تاذ تادنسو عاقر ة رّ اق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,3,,,,,,,,180 834,0,,180 834,,,,,,,,,,ىدـل ةعدوـم دوـقنل او مـيقل ا نم ت اقحتسم ة دـنسم ت اكرش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,3,,,,,,,,4 784 521,15 132 140,,19 916 661,,,,,,,,,,نيكرتشملا قودنص عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,3,,,,,,,,10 784 521,18 921 740,,29 706 261,,,,,,,,,,ماعلا عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,1,,,,,,,,336 780,3 709 061,,4 045 841,,,,,,,,,,ةبستكملا ريغ نيمأتلا طاسقأ نيمأتلا يديعم ةصح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,1,,,,,,,,224 348,15 641 026,,15 865 374,,,,,,,,,,يلئاعلا نيمأتلا تارخدم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,1,,,,,,,,416 613,864 621,,1 281 234,,,,,,,,,,)ةايحلا ىلع نيمأتلا( تاضيوعتلا تارخدم يف نيمأتلا يديعم ةصح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,1,,,,,,,,1 037 954,4 586 366,,5 624 320,,,,,,,,,,)ماعلا نيمأتلا( تاضيوعتلا تارخدم يف نيمأتلا يديعم ةصح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,1,,,,,,,,2 015 695,24 801 074,,26 816 769,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,2,,,,,,,,203 327,,,-175 641,,,,,,,,,,ةرداص ريغ ةبستكم نيمأت طاسقأ,,-378 968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,2,,,,,,,,6 473 776,,,17 690 674,,,,,,,,,,رشابملا نيمأتلا تاّيلمع نع ةدلوتم ىرخأ تاقحتسم,,11 216 898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,2,,,,,,,,-1 558 011,,,5 138 736,,,,,,,,,,اهلحم ةسسؤملا تلحو اهضيوعت مت تاقحتسم,,6 696 747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,2,,,,,,,,5 119 092,,,22 653 769,,,,,,,,,,عومجملا,,17 534 677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,3,,,,,,,,"992 882
-50 282
-3 706","4 289 918
761 440
3 706",,"5 282 800
711 156
0",,,,,,,,,,"يلفاكتلا نيماتلا ةسسؤم
ةيمومعلا تاعامجل او يعامتجلاا نامضلا لـكايهو ةلودلا
ناوعلأا
نوفلتخم نونيدم",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,3,,,,,,,,938 892,5 055 064,,5 993 956,,,,,,,,,,يلفاكتلا نيماتلا ةسسؤم عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,3,,,,,,,,"673 802
3 555","2 204 227
0",,"2 878 029
3 555",,,,,,,,,,"نيكرتشملا قودنص
ةيمومعلا تاعامجلاو يعامتجلاا نامضلا لـكايهو ةلودلا
نوفلتخم نونيدم",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,3,,,,,,,,677 357,2 204 227,,2 881 584,,,,,,,,,,نيكرتشملا قودنص عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,3,,,,,,,,1 616 249,7 259 291,,8 875 540,,,,,,,,,,ماعلا عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,,,,,,,,,,,,,,يلفاكتلا نيماتلا ةسسؤم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,-209 609,112 153,,-97 455,,,,,,,,,,كنبلا يف لاومأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,-9 850,9 850,,0,,,,,,,,,,ليصحتلل قاروأو تاكيش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,2 368,1 166,,3 534,,,,,,,,,,ةنيزخلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,-217 090,123 169,,-93 921,,,,,,,,,,يلفاكتلا نيماتلا ةسسؤم عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,,,,,,,,,,,,,,نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,-2 497 968,5 118 075,,2 620 107,,,,,,,,,,كنبلا يف لاومأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,623 504,57 157,,680 661,,,,,,,,,,ليصحتلل قاروأو تاكيش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,302,888,,1 190,,,,,,,,,,ةنيزخلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,184 183,237 315,,421 498,,,,,,,,,,ةماعلا ةنيزخلا يف لاومأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
