societe,page,table_num,col,col_2,2025س ربمسيد 31 ىلا يفناج 01 نم,col_3,col_4,للاغتسلال ينابم,ةنس 50 ,تاريغت,2024 يفاصلا,col_5,2025 يفاصلا,col_6,col_7,ر صانعلا,col_8,2025 تاكلاهتس ا,col_9,2025 ماخلا,col_10,col_11,رصانعلا,col_12,2024يفاصلا,2025يفاصلا,2024 يّ تاّذلا لاوملأا,2025ةّيتاّذلا لاوملأا,2024 ةّيتاّذلا لاوملأا,2025 ةّيتاّذلا لاوملأا,عومجملا,ةيتاذ لاومأ,ةنسلا جئاتن,ةلجؤم جئاتن,تاطايتحا,لاملا سأر,col_13,col_14,سأر,ةـّينف تارخدّ م,"عومجملا
)3(+)2(-)1(",ثداوحلا ىلع تارخدملا,ىواعدلا تاعقوت,تاضيوعتلا تارخدم,تانايبلا,2024 ةيفاص طاسقأ,2025 ةيفاص طاسقأ,ةدنسم طاسقأ,ةرداص طاسقأ,نيمأّتلا طاسقأ,ةيفاص طاسقأ,"ةيفاص طاسقأ
2025",ناوعلأا ءابعا,2024,2025,غ لبملا,ة يفارغجلا ةقطنملا,"صقان وأ ضئاف
ةنماكلا ةميقلا",ةحيحص ةميق,يفاص غلبم,ماخ غلبم,تافيظوتلا ءابعأو تاداريإ عيزوت لودج :13 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج :16 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج : 17 ددع قحلملا,"2025-12-31 ف دئاوف
ي",غ لبملا فصر خــــيرات,ي مهاسملا,ة رادلاا سلجم ءاضعأ,دعاسملا ماعلا ريدملا,ماعلا ريدملا
AMANA,7,1,"يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,"وأ/و يلفاكتلا نيمأتلا ةسسؤم
ةدحوم يلفاكتلا نيمأتلا ةداعإ","يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,"31 ع ع أ
5 ع ع أ + 33 ع ع أ",,,"-631 290
-1 434 396",,,,,,,,"ءانتقلاا ءابعأ
ة يفاص ىرخأ فرصت ءابعأ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,,-2 065 686,,,,,,,,ةيفاص ىرخأ ء انتقاو فرصت ءابعأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,411 ع ع أ- 21 ع ر أ -412 ع ع أ,,,2 056 052,,,,,,,,ةيفاصلا تافيظوتلا تاداريا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,,2 056 052,,,,,,,,ي لام عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,") 2 دومع( 1 ع ر ا
) 2 دومع( 1 ع ع ا
) 2 دومع( 2 ع ع ا
) 2 دومع( 34 ع ع ا",,,"-1 974 565
1 085 709
224 348
867 402",,,,,,,,"اهدانسا داعمو ةدنسم نيمأت طاسقأ
ت اضيوعتل ا ءابعأ يف نيمأتلا يديعم ةصح
ت ارخدملا ءابعأ يف نيمأتلا يديعم ةصح
نيمأتلا يديعم نم ةلوبقم تلاومع",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,,202 894,,,,,,,,ن يمأتلا ةداعا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,,337 083,,,,,,,,ز جع وأ ضئاف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,"64 051 494
53 290 126",,,,,,,,"ةيفاضإ تامولعم
نيمأتلا ءارش ةداعإ غلابم
ةنسلل ةيلامجإ ةينف تلاومع
ل افقلإا دنع ةيلامجإ ةينف تارخدم
ح اتتفلاا دنع ةيلامجإ ةينف تارخدم
م صخلل
ةبجوتسم تارخدم",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,م اعلا يلفاكتلا نيمأتلا ةداعإ وأ/و يلفاكتلا نيمأتلا تاسسؤم,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/12/31 يف ةموتخملا ةّيبساحملا ةنسّ لل,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رانيدلا باسحب,,,,,,
AMANA,30,1,,,,,عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,طبر,,,,,,
AMANA,30,1,,,,,57 833 829,,,,,,,,ةبستكم نيمات طاسقأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,)1 دومع( 11 م ع ر ا,,,"61 396 176
-3 562 347",,,,,,,,"ةرداص نيمأت طاسقأ
ةبستكملا ريغ نيمأتلا طاسقأ تارخدم ريغت",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ر ا )1 دومع( 12 م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,-34 056 675,,,,,,,,ةمدخلا ميدقت ءابعأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ع أ م 11,,,"-31 022 462
-3 034 213",,,,,,,,"ةعوفدم تاقفنو ةمدخلا ميدقت ءابعأ
ةفلتخم تارخدم ءابعأ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,م ع ع أ 22 + م ع ع أ 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,23 777 154,,,,,,,,ءانتقلاا صلاخ عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ع ا 31 + 32 م ع ع ا,,,"-6 347 713
-17 194 397",,,,,,,,"ءانتقلاا ءابعأ
ة يفاص ىرخأ فرصت ءابعأ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ع ا 3 م ع ر ا – 5 م ع ع ا + 33 م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,-23 542 110,,,,,,,,ةيفاص ىرخأ ءانتقا و فرصت ءابعأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ر ا 4 م ع ع ا – 2 م,,,1 943 382,,,,,,,,ةيفاصلا تافيظوتلا تاداريا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,1 943 382,,,,,,,,ي لام عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ر ا )2 دومع( 1 م,,,"-6 675 002
1 403 250
1 066 327
2 090 493",,,,,,,,"ةبستكم نيمأت طاسقأ يف نيمأتلا يديعم ةصح
تاضيوعتلا ءابعأ يف نيمأتلا يديعم ةصح
تارخدملا ءابعأ يف نيمأتلا يديعم ةصح
نيمأتلا يديعم نم ةلوبقم تلاومع",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ع أ م 11 (2 دومع),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,ع ع ا 34 م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,-2 114 932,,,,,,,,نيمأتلا ةداعا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,63 494,,,,,,,,زجع وأ ضئاف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,"23 120 910
19 354 971
42 801 120
40 316 760
787 784
208 116
0
0",,,,,,,,"ل افقلإا دنع ةبستكملا ريغ نيمأتلا طاسقأ تارخدم
حاتتفلاا دنع ةبستكملا ريغ نيمأتلا طاسقأ تارخدم
ل افقلإا دنع ةيلامجإ ةينف تارخدم
حاتتفلاا دنع ةيلامجإ ةينف تارخدم
لافقلإا دنع ىرخ أ ةينف ت ارخّ دم
حاتتفلاا دنع ىرخ أ ةينف ت ارخّ دم
لافقلإا دنع نزاوتلاو ليدعتلا تارخدم
حاتتفلاا دنع نزاوتلاو ليدعتلا تارخدم
مصخلل
ةبجوتسم تارخدم",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 640 000,,,,,,,,,131 200,15/12/2021,AL BARAKA,,,
AMANA,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 000,,,,,,,,,28 800,15/11/2021,BEST LEASE,,,
AMANA,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 000,,,,,,,,,28 800,15/12/2021,TUNIS RE,,,
AMANA,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 000,,,,,,,,,9 600,03/12/2021,MZABI ET FILS-DELMAS,,,
AMANA,39,1,"ماخ ءابعأ
2025
) **(",,,"ماخ ءابعأ
2025","ماخ ءابعأ
2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31 ف موصخلا
ي
2025 ب مسيد","31 ف موصخلا
ي
2025 ب مسيد
) *(","31 ف موصخلا
ي
2025 ب مسيد
) *("
AMANA,39,1,155.904,,,205.529,443.528,,,,,"ىلع تازايتملاا
ريصقلا ىدملا",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,80.080,232.836
